index,time,day_of_week,hour,is_weekend,is_home_time,latitude,longitude,work_hours
83,2016-12-05 17:50:54,0,17,False,True,34.5011,70.3906,False
99,2016-12-02 11:22:09,4,11,True,True,34.4407,70.398,False
172,2016-12-13 19:12:06,1,19,False,True,34.4407,70.398,False
175,2016-12-03 14:30:12,5,14,False,False,34.4251,70.4497,True
332,2016-12-01 11:33:11,3,11,False,False,34.4202,70.4383,True
618,2016-12-02 16:30:14,4,16,True,True,34.4202,70.4383,False
720,2016-12-05 18:32:02,0,18,False,True,34.5011,70.3906,False
855,2016-12-04 12:11:26,6,12,False,False,34.4202,70.4383,True
925,2016-12-01 14:25:36,3,14,False,False,34.4407,70.398,True
936,2016-12-05 17:54:09,0,17,False,True,34.4245,70.4245,False
1161,2016-12-01 11:58:04,3,11,False,False,34.4202,70.4383,True
1203,2016-12-01 12:38:08,3,12,False,False,34.4265,70.4613,True
1234,2016-12-03 08:49:16,5,8,False,False,34.5011,70.3906,False
1391,2016-12-03 08:30:42,5,8,False,False,34.5011,70.3906,False
1445,2016-12-02 12:30:45,4,12,True,True,34.5011,70.3906,False
1591,2016-12-02 12:34:03,4,12,True,True,34.5011,70.3906,False
1817,2016-12-04 17:50:20,6,17,False,True,34.4407,70.398,False
1824,2016-12-06 14:56:30,1,14,False,False,34.4202,70.4383,True
1837,2016-12-06 12:33:01,1,12,False,False,34.4202,70.4383,True
1901,2016-12-03 07:23:09,5,7,False,True,34.5011,70.3906,False
1924,2016-12-09 18:37:15,4,18,True,True,34.5011,70.3906,False
1961,2016-12-09 19:18:45,4,19,True,True,34.4245,70.4245,False
2189,2016-12-17 17:38:15,5,17,False,True,34.4407,70.398,False
2258,2016-12-23 10:52:31,4,10,True,True,34.531,69.1585,False
2460,2016-12-15 17:33:51,3,17,False,True,34.4407,70.398,False
2555,2016-12-16 10:17:28,4,10,True,True,34.5011,70.3906,False
2858,2016-12-02 07:26:50,4,7,True,True,34.5011,70.3906,False
2880,2016-12-11 17:58:21,6,17,False,True,34.4407,70.398,False
2912,2016-12-10 18:25:24,5,18,False,True,34.5011,70.3906,False
3116,2016-12-05 15:27:08,0,15,False,False,34.4251,70.4497,True
3218,2016-12-01 16:16:04,3,16,False,True,34.5011,70.3906,True
3522,2016-12-06 15:42:22,1,15,False,False,34.4203,70.4599,True
3573,2016-12-22 10:28:48,3,10,False,False,34.4245,70.4245,True
3794,2016-12-06 13:23:40,1,13,False,False,34.4202,70.4383,True
3845,2016-12-10 18:05:46,5,18,False,True,34.5011,70.3906,False
4152,2016-12-05 08:29:42,0,8,False,False,34.5011,70.3906,False
4266,2016-12-05 15:32:07,0,15,False,False,34.4251,70.4497,True
4424,2016-12-02 17:47:59,4,17,True,True,34.4407,70.398,False
4554,2016-12-02 10:50:50,4,10,True,True,34.4407,70.398,False
4561,2016-12-05 18:07:51,0,18,False,True,34.4407,70.398,False
4680,2016-12-05 15:29:54,0,15,False,False,34.4251,70.4497,True
4721,2016-12-04 17:38:19,6,17,False,True,34.5011,70.3906,False
4759,2016-12-05 15:28:57,0,15,False,False,34.4251,70.4497,True
4905,2016-12-02 08:09:24,4,8,True,True,34.5011,70.3906,False
4981,2016-12-02 07:49:47,4,7,True,True,34.4407,70.398,False
5109,2016-12-01 14:10:59,3,14,False,False,34.5011,70.3906,True
5144,2016-12-01 16:52:15,3,16,False,True,34.5011,70.3906,True
5180,2016-12-18 17:27:31,6,17,False,True,34.5011,70.3906,False
5310,2016-12-27 19:22:43,1,19,False,True,34.4407,70.398,False
5504,2016-12-05 08:05:20,0,8,False,False,34.5011,70.3906,False
5907,2016-12-29 12:47:25,3,12,False,False,34.4265,70.4613,True
6062,2016-12-16 18:03:22,4,18,True,True,34.4407,70.398,False
6079,2016-12-02 20:24:25,4,20,True,True,34.4407,70.398,False
6082,2016-12-01 14:16:52,3,14,False,False,34.5011,70.3906,True
6263,2016-12-05 17:13:30,0,17,False,True,34.4407,70.398,False
6399,2016-12-07 13:15:27,2,13,False,False,34.4202,70.4383,True
6491,2016-12-07 14:28:25,2,14,False,False,34.4265,70.4613,True
6598,2016-12-10 17:35:07,5,17,False,True,34.5011,70.3906,False
6620,2016-12-05 18:21:06,0,18,False,True,34.4407,70.398,False
6639,2016-12-03 18:22:02,5,18,False,True,34.5011,70.3906,False
6653,2016-12-02 07:18:39,4,7,True,True,34.5011,70.3906,False
6834,2016-12-08 13:02:01,3,13,False,False,34.4265,70.4613,True
7028,2016-12-20 17:13:36,1,17,False,True,34.4407,70.398,False
7089,2016-12-20 17:35:20,1,17,False,True,34.4407,70.398,False
7100,2016-12-20 08:22:38,1,8,False,False,34.5011,70.3906,False
7108,2016-12-20 08:09:11,1,8,False,False,34.4407,70.398,False
7387,2016-12-04 08:36:23,6,8,False,False,34.4245,70.4245,False
7397,2016-12-07 14:38:29,2,14,False,False,34.4265,70.4613,True
7503,2016-12-11 07:44:43,6,7,False,True,34.4245,70.4245,False
7951,2016-12-01 13:11:45,3,13,False,False,34.4309,70.4518,True
7981,2016-12-04 08:24:49,6,8,False,False,34.4407,70.398,False
8185,2016-12-10 18:26:40,5,18,False,True,34.5011,70.3906,False
8271,2016-12-13 11:51:20,1,11,False,False,34.4347,70.4758,True
8299,2016-12-01 19:18:26,3,19,False,True,34.4202,70.4383,False
8351,2016-12-17 18:24:08,5,18,False,True,34.4407,70.398,False
8370,2016-12-16 20:06:40,4,20,True,True,34.4407,70.398,False
8598,2016-12-02 09:48:59,4,9,True,True,34.4245,70.4245,False
8609,2016-12-03 08:54:54,5,8,False,False,34.5011,70.3906,False
8764,2016-12-15 07:27:17,3,7,False,True,34.4407,70.398,False
9428,2016-12-06 13:37:25,1,13,False,False,34.4202,70.4383,True
9530,2016-12-05 10:54:20,0,10,False,False,34.4202,70.4383,True
9576,2016-12-01 14:21:15,3,14,False,False,34.5011,70.3906,True
9681,2016-12-14 20:02:28,2,20,False,True,34.5011,70.3906,False
9756,2016-12-30 15:40:27,4,15,True,True,34.4377,70.4157,False
9776,2016-12-17 14:24:08,5,14,False,False,34.4245,70.4245,True
10069,2016-12-19 16:14:34,0,16,False,True,34.4407,70.398,True
10395,2016-12-18 10:40:38,6,10,False,False,34.4251,70.4497,True
10566,2016-12-13 12:33:08,1,12,False,False,34.4321,70.4682,True
10985,2016-12-11 18:07:59,6,18,False,True,34.4407,70.398,False
