,index,callingcellid,date_key,call_date,caller,year_month,time,day_of_week,is_weekend,hour,time_of_day,is_home_time,latitude,longitude,provName
0,83,4.12203011463e+14,20161205,12/5/2016 5:50:54 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-05 17:50:54,0,False,17,17.8333333333,True,34.5011,70.3906,Nangarhar
1,99,4.1220301113e+14,20161202,12/2/2016 11:22:09 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-02 11:22:09,4,True,11,11.3666666667,True,34.4407,70.398,Nangarhar
2,172,4.1220301113e+14,20161213,12/13/2016 7:12:06 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-13 19:12:06,1,False,19,19.2,True,34.4407,70.398,Nangarhar
3,175,4.1220301113e+14,20161203,12/3/2016 2:30:12 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-03 14:30:12,5,False,14,14.5,False,34.4251,70.4497,Nangarhar
4,332,4.1220301113e+14,20161201,12/1/2016 11:33:11 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-01 11:33:11,3,False,11,11.55,False,34.4202,70.4383,Nangarhar
5,618,4.1220301113e+14,20161202,12/2/2016 4:30:14 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-02 16:30:14,4,True,16,16.5,True,34.4202,70.4383,Nangarhar
6,720,4.12203011463e+14,20161205,12/5/2016 6:32:02 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-05 18:32:02,0,False,18,18.5333333333,True,34.5011,70.3906,Nangarhar
7,855,4.1220301113e+14,20161204,12/4/2016 12:11:26 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-04 12:11:26,6,False,12,12.1833333333,False,34.4202,70.4383,Nangarhar
8,925,4.1220301113e+14,20161201,12/1/2016 2:25:36 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-01 14:25:36,3,False,14,14.4166666667,False,34.4407,70.398,Nangarhar
9,936,4.1220301113e+14,20161205,12/5/2016 5:54:09 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-05 17:54:09,0,False,17,17.9,True,34.4245,70.4245,Nangarhar
