latitude,longitude,during_work_hours,total
34.3962,70.4875,0.0,3
34.4064,70.4601,0.0,2
34.416778,70.470556,3.0,3
34.4202,70.4383,23.0,27
34.4203,70.4599,1.0,1
34.4245,70.4245,9.0,21
34.4251,70.4497,8.0,8
34.4265,70.4613,11.0,14
34.4297,70.3586,0.0,1
34.4301,70.4428,2.0,3
34.4309,70.4518,4.0,5
34.4321,70.4682,1.0,5
34.4326,70.4584,4.0,5
34.4341,70.4336,3.0,3
34.4347,70.4758,2.0,2
34.4377,70.4157,0.0,1
34.438,70.4435,0.0,1
34.4407,70.398,16.0,116
34.4526,70.5136,0.0,2
34.5011,70.3906,11.0,65
34.5031,70.218,1.0,1
34.531,69.1585,0.0,3
34.5325,69.1508,0.0,2
34.5336,69.0856,1.0,5
34.537,69.2103,1.0,1
34.5679,69.3931,1.0,1
